"idSubject" "idActivity" "nameActivity" "variableMeasurement" "avgMeasurement"
2 1 "walking" "FrequenceBodyAccelerometerJerkMagMean" -0.509746432970861
2 1 "walking" "FrequenceBodyAccelerometerJerkMagMeanFreq" 0.193066821118212
2 1 "walking" "FrequenceBodyAccelerometerJerkMagStd" -0.518800797709272
2 1 "walking" "FrequenceBodyAccelerometerJerkMeanFreqX" 0.0868000536209801
2 1 "walking" "FrequenceBodyAccelerometerJerkMeanFreqY" -0.139776595362185
2 1 "walking" "FrequenceBodyAccelerometerJerkMeanFreqZ" -0.0942651868218543
2 1 "walking" "FrequenceBodyAccelerometerJerkMeanX" -0.561682049622185
2 1 "walking" "FrequenceBodyAccelerometerJerkMeanY" -0.50890379901457
2 1 "walking" "FrequenceBodyAccelerometerJerkMeanZ" -0.715745330403973
2 1 "walking" "FrequenceBodyAccelerometerJerkStdX" -0.595105612895033
2 1 "walking" "FrequenceBodyAccelerometerJerkStdY" -0.509147543673841
2 1 "walking" "FrequenceBodyAccelerometerJerkStdZ" -0.767087015496689
2 1 "walking" "FrequenceBodyAccelerometerMagMean" -0.514569861316887
2 1 "walking" "FrequenceBodyAccelerometerMagMeanFreq" 0.192199738218212
2 1 "walking" "FrequenceBodyAccelerometerMagStd" -0.646662308457285
2 1 "walking" "FrequenceBodyAccelerometerMeanFreqX" -0.106763418901788
2 1 "walking" "FrequenceBodyAccelerometerMeanFreqY" 0.105734176023146
2 1 "walking" "FrequenceBodyAccelerometerMeanFreqZ" 0.087210586428
2 1 "walking" "FrequenceBodyAccelerometerMeanX" -0.57377091142947
2 1 "walking" "FrequenceBodyAccelerometerMeanY" -0.432566581302351
2 1 "walking" "FrequenceBodyAccelerometerMeanZ" -0.630081222124834
2 1 "walking" "FrequenceBodyAccelerometerStdX" -0.619788102803311
2 1 "walking" "FrequenceBodyAccelerometerStdY" -0.464723862913245
2 1 "walking" "FrequenceBodyAccelerometerStdZ" -0.600678614835099
2 1 "walking" "FrequenceBodyGyroscopeJerkMagMean" -0.751615078360927
2 1 "walking" "FrequenceBodyGyroscopeJerkMagMeanFreq" 0.124612068599768
2 1 "walking" "FrequenceBodyGyroscopeJerkMagStd" -0.744194981440397
2 1 "walking" "FrequenceBodyGyroscopeMagMean" -0.699742945221854
2 1 "walking" "FrequenceBodyGyroscopeMagMeanFreq" 0.0471324812379801
2 1 "walking" "FrequenceBodyGyroscopeMagStd" -0.725310337688742
2 1 "walking" "FrequenceBodyGyroscopeMeanFreqX" -0.00576500648245033
2 1 "walking" "FrequenceBodyGyroscopeMeanFreqY" -0.0702155008665563
2 1 "walking" "FrequenceBodyGyroscopeMeanFreqZ" 0.0513627291214901
2 1 "walking" "FrequenceBodyGyroscopeMeanX" -0.638717694593046
2 1 "walking" "FrequenceBodyGyroscopeMeanY" -0.722068978635762
2 1 "walking" "FrequenceBodyGyroscopeMeanZ" -0.601594889654305
2 1 "walking" "FrequenceBodyGyroscopeStdX" -0.734588540182119
2 1 "walking" "FrequenceBodyGyroscopeStdY" -0.72716774102649
2 1 "walking" "FrequenceBodyGyroscopeStdZ" -0.683114494539735
2 1 "walking" "TimeBodyAccelerometerJerkMagMean" -0.58777744543543
2 1 "walking" "TimeBodyAccelerometerJerkMagStd" -0.512115278415232
2 1 "walking" "TimeBodyAccelerometerJerkMeanX" 0.0785353156747351
2 1 "walking" "TimeBodyAccelerometerJerkMeanY" 0.00708771249764901
2 1 "walking" "TimeBodyAccelerometerJerkMeanZ" 0.000755760748377483
2 1 "walking" "TimeBodyAccelerometerJerkStdX" -0.557809603123841
2 1 "walking" "TimeBodyAccelerometerJerkStdY" -0.491875889831788
2 1 "walking" "TimeBodyAccelerometerJerkStdZ" -0.741885388311258
2 1 "walking" "TimeBodyAccelerometerMagMean" -0.535281800541722
